"Befolkning efter region, utbildningsnivå och år"
"1781 Kristinehamn" "eftergymnasial utbildning, 3 år eller mer" 1587 1955 2184 2365
"1782 Filipstad" "eftergymnasial utbildning, 3 år eller mer" 420 497 534 576
"1783 Hagfors" "eftergymnasial utbildning, 3 år eller mer" 589 706 770 846
"1784 Arvika" "eftergymnasial utbildning, 3 år eller mer" 1734 2071 2375 2576
"1785 Säffle" "eftergymnasial utbildning, 3 år eller mer" 892 1010 1094 1152
"1814 Lekeberg" "eftergymnasial utbildning, 3 år eller mer" 436 522 625 697
"1860 Laxå" "eftergymnasial utbildning, 3 år eller mer" 218 249 271 307
"1861 Hallsberg" "eftergymnasial utbildning, 3 år eller mer" 735 869 1006 1144
"1862 Degerfors" "eftergymnasial utbildning, 3 år eller mer" 361 418 483 545
"1863 Hällefors" "eftergymnasial utbildning, 3 år eller mer" 257 317 368 397
"1864 Ljusnarsberg" "eftergymnasial utbildning, 3 år eller mer" 204 230 266 322
"1880 Örebro" "eftergymnasial utbildning, 3 år eller mer" 13542 16510 19516 22344
"1881 Kumla" "eftergymnasial utbildning, 3 år eller mer" 977 1294 1598 1842
"1882 Askersund" "eftergymnasial utbildning, 3 år eller mer" 576 725 809 875
"1883 Karlskoga" "eftergymnasial utbildning, 3 år eller mer" 1893 2224 2363 2596
"1884 Nora" "eftergymnasial utbildning, 3 år eller mer" 766 911 1026 1100
"1885 Lindesberg" "eftergymnasial utbildning, 3 år eller mer" 1355 1618 1791 1965
"1904 Skinnskatteberg" "eftergymnasial utbildning, 3 år eller mer" 246 285 291 303
"1907 Surahammar" "eftergymnasial utbildning, 3 år eller mer" 421 505 592 666
"1960 Kungsör" "eftergymnasial utbildning, 3 år eller mer" 402 512 568 663
"1961 Hallstahammar" "eftergymnasial utbildning, 3 år eller mer" 603 859 1025 1178
"1962 Norberg" "eftergymnasial utbildning, 3 år eller mer" 265 319 334 351
"1980 Västerås" "eftergymnasial utbildning, 3 år eller mer" 13895 16800 19082 21853
"1981 Sala" "eftergymnasial utbildning, 3 år eller mer" 1269 1553 1728 1949
"1982 Fagersta" "eftergymnasial utbildning, 3 år eller mer" 549 687 792 963
"1983 Köping" "eftergymnasial utbildning, 3 år eller mer" 1263 1559 1782 2041
"1984 Arboga" "eftergymnasial utbildning, 3 år eller mer" 748 909 1053 1221
"2021 Vansbro" "eftergymnasial utbildning, 3 år eller mer" 264 322 374 399
"2023 Malung-Sälen" "eftergymnasial utbildning, 3 år eller mer" 464 587 678 698
"2026 Gagnef" "eftergymnasial utbildning, 3 år eller mer" 612 746 864 943
"2029 Leksand" "eftergymnasial utbildning, 3 år eller mer" 1124 1332 1518 1727
"2031 Rättvik" "eftergymnasial utbildning, 3 år eller mer" 615 751 856 968
"2034 Orsa" "eftergymnasial utbildning, 3 år eller mer" 425 504 538 561
"2039 Älvdalen" "eftergymnasial utbildning, 3 år eller mer" 260 344 404 451
"2061 Smedjebacken" "eftergymnasial utbildning, 3 år eller mer" 463 611 710 809
"2062 Mora" "eftergymnasial utbildning, 3 år eller mer" 1256 1567 1804 2058
"2080 Falun" "eftergymnasial utbildning, 3 år eller mer" 5917 7035 7855 8708
"2081 Borlänge" "eftergymnasial utbildning, 3 år eller mer" 3141 3928 4487 5017
"2082 Säter" "eftergymnasial utbildning, 3 år eller mer" 683 851 927 1033
"2083 Hedemora" "eftergymnasial utbildning, 3 år eller mer" 847 989 1129 1202
"2084 Avesta" "eftergymnasial utbildning, 3 år eller mer" 1115 1296 1471 1663
"2085 Ludvika" "eftergymnasial utbildning, 3 år eller mer" 1701 1907 2319 2622
"2101 Ockelbo" "eftergymnasial utbildning, 3 år eller mer" 243 343 378 392
"2104 Hofors" "eftergymnasial utbildning, 3 år eller mer" 408 514 544 591
"2121 Ovanåker" "eftergymnasial utbildning, 3 år eller mer" 431 580 639 750
"2132 Nordanstig" "eftergymnasial utbildning, 3 år eller mer" 455 513 579 665
"2161 Ljusdal" "eftergymnasial utbildning, 3 år eller mer" 929 1072 1202 1300
"2180 Gävle" "eftergymnasial utbildning, 3 år eller mer" 7992 9907 11553 13086
"2181 Sandviken" "eftergymnasial utbildning, 3 år eller mer" 2273 2716 3090 3510
"2182 Söderhamn" "eftergymnasial utbildning, 3 år eller mer" 1382 1608 1802 1954
"2183 Bollnäs" "eftergymnasial utbildning, 3 år eller mer" 1432 1755 2026 2250
"2184 Hudiksvall" "eftergymnasial utbildning, 3 år eller mer" 2432 2973 3365 3839
"2260 Ånge" "eftergymnasial utbildning, 3 år eller mer" 451 565 621 625
"2262 Timrå" "eftergymnasial utbildning, 3 år eller mer" 860 1046 1228 1407
"2280 Härnösand" "eftergymnasial utbildning, 3 år eller mer" 2506 2831 2991 3179
"2281 Sundsvall" "eftergymnasial utbildning, 3 år eller mer" 8298 9982 11112 12369
"2282 Kramfors" "eftergymnasial utbildning, 3 år eller mer" 1077 1225 1340 1482
"2283 Sollefteå" "eftergymnasial utbildning, 3 år eller mer" 1415 1621 1737 1834
"2284 Örnsköldsvik" "eftergymnasial utbildning, 3 år eller mer" 4016 5194 5857 6417
"2303 Ragunda" "eftergymnasial utbildning, 3 år eller mer" 253 294 323 340
"2305 Bräcke" "eftergymnasial utbildning, 3 år eller mer" 352 417 479 497
"2309 Krokom" "eftergymnasial utbildning, 3 år eller mer" 1052 1256 1521 1723
"2313 Strömsund" "eftergymnasial utbildning, 3 år eller mer" 616 746 796 849
"2321 Åre" "eftergymnasial utbildning, 3 år eller mer" 647 854 1020 1181
"2326 Berg" "eftergymnasial utbildning, 3 år eller mer" 398 464 510 565
"2361 Härjedalen" "eftergymnasial utbildning, 3 år eller mer" 454 533 603 702
"2380 Östersund" "eftergymnasial utbildning, 3 år eller mer" 6564 7653 8400 9176
"2401 Nordmaling" "eftergymnasial utbildning, 3 år eller mer" 392 472 500 555
"2403 Bjurholm" "eftergymnasial utbildning, 3 år eller mer" 132 144 165 176
"2404 Vindeln" "eftergymnasial utbildning, 3 år eller mer" 304 346 394 470
"2409 Robertsfors" "eftergymnasial utbildning, 3 år eller mer" 450 514 569 657
