"region" "ålder" "år"
"0821 Högsby" "45-54 år" 882 867 855 776
"0821 Högsby" "55-64 år" 815 892 888 892
"0834 Torsås" "25-34 år" 655 590 583 585
"0834 Torsås" "35-44 år" 916 913 839 725
"0834 Torsås" "45-54 år" 1015 943 933 991
"0834 Torsås" "55-64 år" 1011 1121 1091 981
"0840 Mörbylånga" "25-34 år" 1283 1141 1213 1257
"0840 Mörbylånga" "35-44 år" 1653 1744 1811 1757
"0840 Mörbylånga" "45-54 år" 2015 1789 1720 1824
"0840 Mörbylånga" "55-64 år" 1960 2241 2214 1988
"0860 Hultsfred" "25-34 år" 1279 1137 1105 1297
"0860 Hultsfred" "35-44 år" 2030 1839 1508 1361
"0860 Hultsfred" "45-54 år" 1974 1933 1992 1927
"0860 Hultsfred" "55-64 år" 1972 2110 2028 1974
"0861 Mönsterås" "25-34 år" 1296 1187 1146 1255
"0861 Mönsterås" "35-44 år" 1750 1725 1551 1448
"0861 Mönsterås" "45-54 år" 1838 1746 1722 1750
"0861 Mönsterås" "55-64 år" 1799 1980 1926 1812
"0862 Emmaboda" "25-34 år" 966 827 758 809
"0862 Emmaboda" "35-44 år" 1240 1236 1101 930
"0862 Emmaboda" "45-54 år" 1346 1292 1297 1283
"0862 Emmaboda" "55-64 år" 1351 1392 1355 1305
"0880 Kalmar" "25-34 år" 8193 8094 8076 8676
"0880 Kalmar" "35-44 år" 7884 8132 7963 7851
"0880 Kalmar" "45-54 år" 7917 7567 7828 8279
"0880 Kalmar" "55-64 år" 7091 7783 7861 7417
"0881 Nybro" "25-34 år" 2005 1807 1801 2085
"0881 Nybro" "35-44 år" 2690 2636 2404 2118
"0881 Nybro" "45-54 år" 2639 2536 2646 2731
"0881 Nybro" "55-64 år" 2722 2908 2713 2524
"0882 Oskarshamn" "25-34 år" 3125 2829 2609 2822
"0882 Oskarshamn" "35-44 år" 3343 3559 3546 3243
"0882 Oskarshamn" "45-54 år" 3563 3305 3325 3471
"0882 Oskarshamn" "55-64 år" 3731 3931 3662 3298
"0883 Västervik" "25-34 år" 3534 3238 3146 3351
"0883 Västervik" "35-44 år" 4766 4541 4234 3806
"0883 Västervik" "45-54 år" 5303 4965 4880 4775
"0883 Västervik" "55-64 år" 5360 5776 5464 5092
"0884 Vimmerby" "25-34 år" 1716 1523 1471 1576
"0884 Vimmerby" "35-44 år" 2051 2016 1896 1670
"0884 Vimmerby" "45-54 år" 2120 2060 2088 2078
"0884 Vimmerby" "55-64 år" 2019 2217 2163 1992
"0885 Borgholm" "25-34 år" 897 824 747 846
"0885 Borgholm" "35-44 år" 1350 1161 1055 964
"0885 Borgholm" "45-54 år" 1565 1529 1427 1341
"0885 Borgholm" "55-64 år" 1649 1850 1839 1676
